Image URL, Title, Price
"https://m.media-amazon.com/images/I/61X04z2HVIL._AC_UL320_.jpg", || ,"Amazon Brand - Umi Decorative Astronaut Miniature Statue Figurines Showpiece Item for for Home Decor Items for Living Room,Car Dashboard (Set of 4)", || ,"₹319"
"https://m.media-amazon.com/images/I/51eBV606V9L._AC_UL320_.jpg", || ,"Amazon Brand - UmI. Meditating Monk Buddha Smoke Backflow Cone Incense Holder Showpiece For Office Desk,Home Decor Decoration Gift Items,Buddha Smoke Fountain For Home Decor, Multicolour", || ,"₹149"
"https://m.media-amazon.com/images/I/81opj+B0fhL._AC_UL320_.jpg", || ,"Litleo Plastic Mini Artificial Plant with Pot, Multiple Designs, for Home, Office Decor, Gift, School Project, Art (Set of 4 Green)", || ,"₹198"
"https://m.media-amazon.com/images/I/91zjsqWfFoL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Iron Degchi Doop Stand & Tealight Candle Holder for Home Decor (Netted Style), Gold", || ,"₹699"
"https://m.media-amazon.com/images/I/71QwUGAI8mL._AC_UL320_.jpg", || ,"amazon basics Home Decor Happy Deer Family Matte Finish Ceramic Figures (Set of 3, Multicolor)", || ,"₹697"
"https://m.media-amazon.com/images/I/71iMnsThZ8L._AC_UL320_.jpg", || ,"SATYAM KRAFT 5 Pcs Artificial Chrysanthemum Ball Hydrangea Flower Stick for Home, Office, Bedroom, Diwali, Balcony, Living Room, Deepawali Decoration(Pack of 5, Silver Mauve, Without Vase Pot, Fabric", || ,"₹299"
"https://m.media-amazon.com/images/I/71mIsqTbz1L._AC_UL320_.jpg", || ,"Amazon Brand - Solimo Hexagon Decorative Mirror Stickers for Wall | Wall Mirror Stickers | 3D Acrylic Stickers Wall Stickers | Golden Colour | Set of 30", || ,"₹199"
"https://m.media-amazon.com/images/I/61chd4sOYtL._AC_UL320_.jpg", || ,"KYARI Good Luck Jade Plant Crassula Ovata Live Indoor Plants with Black Self Watering Pot, Best for Living Room, Kitchen, Bedroom, & Office Table", || ,"₹290"
"https://m.media-amazon.com/images/I/A1cRqZVJddL._AC_UL320_.jpg", || ,"10Club Pure Brass Kalpavriksha Tree Showpiece (6.6 inches, 500 gram) Tree of Life - Home Decor - Gift for Good Luck Vastu and Fengshui - Best in Living Room Table Decoration with Antique Polish", || ,"₹1,599"
"https://m.media-amazon.com/images/I/51mpEIMD6dL._AC_UL320_.jpg", || ,"SAF paintings Flower Pot UV Textured MDF Set of 3 Hexagon Painting 17 Inch X 17 Inch HX131", || ,"₹165"
"https://m.media-amazon.com/images/I/711hjRO3qqL._AC_UL320_.jpg", || ,"eCraftIndia Antique Music Decorative Canon Brass Showpiece (10 cm x 10 cm x 23.75 cm, Red and Brown)", || ,"₹329"
"https://m.media-amazon.com/images/I/61NYDGRHD8L._AC_UL320_.jpg", || ,"Amazon Brand - Umi Diwali Rangoli Stencils for Door Home Entrance, Diwali Decoration Items for Home Decor, Rangoli Making Tools Kit, Rangoli Stencils Wooden Mat Big Size (12 Inch)", || ,"₹249"
"https://m.media-amazon.com/images/I/81fjxHUB3JL._AC_UL320_.jpg", || ,"Amazon Basics Modern Minimal Love Couple Depiction Figurine for Home Décor - Pack of 1", || ,"₹343.43"
"https://m.media-amazon.com/images/I/713xOgFeEhL._AC_UL320_.jpg", || ,"INDULGE HOMES - White Vase/Flower Vase/Pampas Grass Vase/Ceramic Vase/Round Shaped Vase/Home Decor Centrepiece/Decor Showpiece Donut Vase 6 & 8 Inches (Pack of 2)", || ,"₹799"
"https://m.media-amazon.com/images/I/81a8XvkZIOL._AC_UL320_.jpg", || ,"Amazon Basics 3D Home Decor Butterflies Wall Stickers | Suitable for Walls, Fridges, Office, Kitchen, Living Room, etc. (Pack of 12, Rose Gold)", || ,"₹249"
"https://m.media-amazon.com/images/I/81Jiji-ROBL._AC_UL320_.jpg", || ,"Amazon Brand - Solimo MDF African Warli Wall Hangings for Home Decor, Office, and Gifts", || ,"₹169"
